Pokémon,Dex,Icons,Shiny,Male,Female,Type 1,Type 2,Hatch Steps,Egg Group 1,Egg Group 2,Ability 1,Ability 2,Hidden Ability,Special Ability,Egg Moves,,,,,,,,,,,,,,,,Abilities,Nature,Stat Up,Stat Down,Types,Sprite,Moves,Type,Ball,Big,Sprite,Item,Sprite,Shiny,Gender,Stat,31,<31,Event Name,Event Link
Bulbasaur,1,,,♂ 88.1%,♀ 11.9%,Grass,Poison,"5,120",Monster,Grass,Overgrow,----,Chlorophyll,----,Amnesia,Charm,Curse,Endure,Giga Drain,Grass Whistle,Grassy Terrain,Ingrain,Leaf Storm,Magical Leaf,Power Whip,Skull Bash,Sludge,,,,Adaptability,Adamant,Attack,Sp. Attack,Bug,,Pound,Normal,Poke Ball,,,Unknown,,★,♂,HP,●,○,1 Million Victory Zeraora,https://bulbapedia.bulbagarden.net/wiki/List_of_game-based_Pok%C3%A9mon_distributions_in_Generation_VIII#1_Million_Victories_Shiny_Zeraora
Ivysaur,2,,,♂ 88.1%,♀ 11.9%,Grass,Poison,"5,120",Monster,Grass,Overgrow,----,Chlorophyll,----,Amnesia,Charm,Curse,Endure,Giga Drain,Grass Whistle,Grassy Terrain,Ingrain,Leaf Storm,Magical Leaf,Power Whip,Skull Bash,Sludge,,,,Aerilate,Bashful,----,----,Dark,,Karate Chop,Fighting,Premier Ball,,,Dire Hit,,■,♀,Atk,▲,△,HA Galarian Pokemon,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Hidden_Ability_Galarian_Pok.C3.A9mon
Venusaur,3,,,♂ 88.1%,♀ 11.9%,Grass,Poison,"5,120",Monster,Grass,Overgrow,----,Chlorophyll,----,Amnesia,Charm,Curse,Endure,Giga Drain,Grass Whistle,Grassy Terrain,Ingrain,Leaf Storm,Magical Leaf,Power Whip,Skull Bash,Sludge,,,,Aftermath,Bold,Defense,Attack,Dragon,,Double Slap,Normal,Great Ball,,,Guard Spec.,,?,○,Def,■,□,WCS2019 Jongyoon Amoonguss,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Baik_Jongyoon.27s_Amoonguss
Mega Venusaur,3,,,♂ 88.1%,♀ 11.9%,Grass,Poison,"5,120",Monster,Grass,Thick Fat,----,----,----,Amnesia,Charm,Curse,Endure,Giga Drain,Grass Whistle,Grassy Terrain,Ingrain,Leaf Storm,Magical Leaf,Power Whip,Skull Bash,Sludge,,,,Air Lock,Brave,Attack,Speed,Electric,,Comet Punch,Normal,Ultra Ball,,,X Accuracy,,,,SpA,♥,♡,JPN Coco Movie Prebook,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Jungle_Pok.C3.A9mon
Charmander,4,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Monster,Dragon,Blaze,----,Solar Power,----,Air Cutter,Ancient Power,Beat Up,Belly Drum,Bite,Counter,Crunch,Dragon Dance,Dragon Pulse,Dragon Rush,Focus Punch,Metal Claw,Outrage,,,,Analytic,Calm,Sp. Defense,Attack,Fairy,,Mega Punch,Normal,Master Ball,,,X Attack,,,,SpD,★,☆,Kimura Hirofumi PJCS2019 Gastrodon,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Japan_Championships_2019_Gastrodon
Charmeleon,5,,,♂ 88.1%,♀ 11.9%,Fire,----,"5,120",Monster,Dragon,Blaze,----,Solar Power,----,Air Cutter,Ancient Power,Beat Up,Belly Drum,Bite,Counter,Crunch,Dragon Dance,Dragon Pulse,Dragon Rush,Focus Punch,Metal Claw,Outrage,,,,Anger Point,Careful,Sp. Defense,Sp. Attack,Fighting,,Pay Day,Normal,Safari Ball,,,X Defense,,,,Spe,◆,◇,VGC20 Player's Cup Porygon2,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Pok.C3.A9mon_Player.27s_Cup_Porygon2
Charizard,6,,,♂ 88.1%,♀ 11.9%,Fire,Flying,"5,120",Monster,Dragon,Blaze,----,Solar Power,----,Air Cutter,Ancient Power,Beat Up,Belly Drum,Bite,Counter,Crunch,Dragon Dance,Dragon Pulse,Dragon Rush,Focus Punch,Metal Claw,Outrage,,,,Anticipation,Docile,----,----,Fire,,Fire Punch,Fire,Dive Ball,,,X Sp. Atk,,,,,,,Fula City,https://bulbapedia.bulbagarden.net/wiki/List_of_American_region_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VII#Fula_City_Zeraora
Mega Charizard X,6,,,♂ 88.1%,♀ 11.9%,Fire,Dragon,"5,120",Monster,Dragon,Tough Claws,----,----,----,Air Cutter,Ancient Power,Beat Up,Belly Drum,Bite,Counter,Crunch,Dragon Dance,Dragon Pulse,Dragon Rush,Focus Punch,Metal Claw,Outrage,,,,Arena Trap,Gentle,Sp. Defense,Defense,Flying,,Ice Punch,Ice,Dusk Ball,,,X Sp. Def,,,,,,,Mewtwo Strikes Back,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Ash.27s_Charizard
Mega Charizard Y,6,,,♂ 88.1%,♀ 11.9%,Fire,Flying,"5,120",Monster,Dragon,Drought,----,----,----,Air Cutter,Ancient Power,Beat Up,Belly Drum,Bite,Counter,Crunch,Dragon Dance,Dragon Pulse,Dragon Rush,Focus Punch,Metal Claw,Outrage,,,,Aroma Veil,Hardy,----,----,Ghost,,Thunder Punch,Electric,Heal Ball,,,X Speed,,,,,,,Gen 8 Hatchus,https://bulbapedia.bulbagarden.net/wiki/List_of_serial_code_event_Pok%C3%A9mon_distributions_in_Generation_VIII#Original_Cap
Squirtle,7,,,♂ 88.1%,♀ 11.9%,Water,----,"5,120",Monster,Water 1,Torrent,----,Rain Dish,----,Aqua Jet,Aqua Ring,Aura Sphere,Brine,Dragon Pulse,Fake Out,Flail,Foresight,Haze,Mirror Coat,Mist,Mud Sport,Muddy Water,Refresh,Water Spout,Yawn,Aura Break,Hasty,Speed,Defense,Grass,,Scratch,Normal,Luxury Ball,,,Aguav Berry,,,,,,,ISS KIBO Pikachu,https://bulbapedia.bulbagarden.net/wiki/List_of_internet_event_Pok%C3%A9mon_distributions_in_Generation_VIII#KIBO.27s_Pikachu
